Date	kospi_SMB	kospi_HML	kosdaq_SMB	kosdaq_HML	SMB	HML
1998-03-16	0.010611193	-0.000300831	0.01111672	-0.009707866	0.009039201	-0.003606794
1998-03-17	0.022439717	-0.006400769	0.012399096	-0.015105983	0.025245778	-0.006127933
1998-03-18	-0.009092492	-0.008210742	-0.010981115	0.0111044	-0.006464669	-0.008408654
1998-03-19	0.005132002	-0.007426652	0.007929582	-0.002298701	0.000589793	-0.007327219
1998-03-20	0.004831026	-0.004997724	0.008101204	-0.004719357	0.001530292	-0.006010342
1998-03-21	0.01230096	0.002298659	-0.002250428	-0.003004796	0.012426667	0.001467195
1998-03-23	0.013280221	0.011053126	0.015250194	-0.007990039	0.016340321	0.008243023
1998-03-24	-0.003093518	0.002244903	-0.005785189	0.006424833	-0.001354496	0.002306169
1998-03-25	-0.003408465	0.010673288	0.00746432	0.003604393	-0.00382288	0.010676797
1998-03-26	0.009192085	-0.004818454	0.00150653	0.00243121	0.010220839	-0.003449411
1998-03-27	-0.009288488	-0.005556436	-0.009567634	0.010811915	-0.007940825	-0.003239878
1998-03-28	0.011037887	-0.004902821	-0.003047008	0.007782756	0.011461544	-0.002669741
1998-03-30	-0.00959172	0.008668582	0.00303307	-0.006600472	-0.002440957	0.004458902
1998-03-31	0.006415387	-0.003984185	0.006933116	-0.017468709	0.005184355	-0.004855971
1998-04-01	0.001741669	-0.003337193	-0.005152589	0.005678461	0.00933626	-0.003846908
1998-04-02	-0.001878176	-0.012111985	-0.007417747	0.013151305	0.003647004	-0.011512411
1998-04-03	-0.001887485	0.008124904	0.006980727	-0.007580216	0.007185611	0.006692988
1998-04-04	-0.009237625	-0.00464289	0.008921376	0.004442936	-0.013771641	-0.002907501
1998-04-06	0.006218667	0.003254331	0.021828036	-0.01952192	0.007455544	0.002795633
1998-04-07	-0.01455233	-0.003830123	-0.005516813	0.0182042	-0.026268328	-0.000215487
1998-04-08	0.001303524	-0.010795609	-0.00143088	0.004720924	0.00293497	-0.010373386
1998-04-09	-0.01490492	-0.001857304	-0.00095019	-0.005114648	-0.01897158	-0.000458976
1998-04-10	0.025457897	-0.012863112	0.002619684	-0.001675095	0.018602304	-0.011190343
1998-04-11	-0.033179724	0.009956217	0.019734776	-0.022914724	-0.034710729	0.009017652
1998-04-13	-0.010393308	0.005169068	-0.01746498	0.010888963	-0.010328474	0.006655952
1998-04-14	0.026321624	-0.020905616	0.01008087	0.005123522	0.031564654	-0.02022564
1998-04-15	-0.007067559	0.016283332	0.013651939	-0.010584767	-0.006824345	0.012879511
1998-04-16	0.009054964	-0.01444709	0.004779257	0.003411181	0.012506086	-0.013511102
1998-04-17	-0.001225362	-0.002104085	0.008464147	-0.008834483	0.002763103	-0.002092908
1998-04-18	-0.009345297	0.00152767	0.012582023	-0.007554992	-0.002935203	-0.001567416
1998-04-20	-0.030938761	-0.001938582	0.007105215	-0.008123959	-0.020602287	-0.003927439
1998-04-21	-0.003594496	0.002024549	0.011101096	-0.008092069	-0.006578026	0.004010967
1998-04-22	0.000634506	-0.007604855	-3.17E-05	0.013880762	0.003276167	-0.00741323
1998-04-23	-0.024112793	-0.002040333	-0.000291485	0.01824858	-0.011129511	-0.002942588
1998-04-24	-0.018167887	0.0012012	-0.003369624	0.021504631	-0.01533369	0.002304994
1998-04-25	-0.011541402	0.009182691	0.006683905	0.007661339	-0.008191087	0.006568596
1998-04-27	-0.024563394	0.014110086	0.001667001	0.011611522	-0.015407606	0.011296697
1998-04-28	0.002343408	-0.004540247	0.014722141	0.003209011	0.003956656	-0.005117003
1998-04-29	0.017130043	-0.001548491	0.008210811	0.002767025	0.006474736	0.001631537
1998-04-30	0.006270516	0.001888052	0.005886285	-0.005734878	0.000918689	0.005114748
1998-05-02	0.004280653	-0.002407672	-0.000746671	-0.017750217	0.012313133	-0.00611347
1998-05-04	-0.005865921	-0.005507223	0.005710447	-0.000837315	0.005244754	-0.006612153
1998-05-06	0.004113021	-0.005526633	0.005124247	-0.010723174	0.012539701	-0.005112878
1998-05-07	0.011160837	0.00750564	0.004407003	-0.003518488	0.003348331	0.009941731
1998-05-08	0.003082666	0.003572452	-0.001131419	0.005609545	0.003965668	0.001963142
1998-05-09	-0.004297687	0.001843625	-0.00785743	0.010484781	-0.004903794	0.002256816
1998-05-11	-0.014761755	-0.000764384	0.003248863	0.004119432	-0.001462084	-0.002079429
1998-05-12	-0.04119771	-0.008754556	0.01334875	-0.008900862	-0.025052549	-0.010320642
1998-05-13	-0.042179547	0.002190095	-0.005906399	0.012124717	-0.036313568	0.002422173
1998-05-14	-0.006068643	-0.004944903	-0.005374152	0.00524286	-0.008479853	-0.00380464
1998-05-15	-0.001565194	-0.002840005	0.001811236	0.015053412	0.005619837	-0.001363831
1998-05-16	-0.001292688	0.007563118	-0.002466442	3.43E-05	-0.001405897	0.007048536
1998-05-18	0.035678211	0.001449249	0.003236957	0.006873305	0.019179443	0.004757491
1998-05-19	0.027272472	0.009516584	-0.005783794	0.013589123	0.016316082	0.012749956
1998-05-20	0.023049468	-0.007592126	0.006676161	0.012337485	0.013370363	-0.004120225
1998-05-21	-0.018943603	0.016840113	0.011510042	-0.002462265	-0.007558204	0.013260941
1998-05-22	0.0108874	-0.025501226	-0.002760489	-0.000335472	0.012193094	-0.023174137
1998-05-23	0.014348649	-0.006284177	-0.006278489	-0.0026861	0.008338736	-0.003308647
1998-05-25	0.017496771	0.00461989	0.020414148	-0.016652813	0.029666425	0.002884379
1998-05-26	0.001536778	-0.023946697	0.010236613	-0.029309623	0.018987301	-0.029297249
1998-05-27	0.033933115	0.016976522	-0.020281448	-0.00093042	0.022969771	0.016928705
1998-05-28	-0.019112326	0.012953652	-0.001333837	-0.000605961	-0.024256097	0.01027221
1998-05-29	-0.010880404	0.018017732	-0.030383925	0.022082438	-0.020518601	0.015449837
1998-05-30	0.019832197	0.00065927	-0.00509279	0.000637176	0.01724387	0.000217613
1998-06-01	-0.004144494	-0.008087467	0.002987939	-0.016000943	-0.006826382	-0.007153597
1998-06-02	0.003125936	-0.005688164	0.005638814	-0.007081083	0.010260421	-0.005406535
1998-06-03	-0.006047959	0.000103162	0.023018146	-0.035427053	-0.012945796	0.003148836
1998-06-05	-0.026601289	-0.010862948	0.020392042	-0.013815605	-0.029316009	-0.0110925
1998-06-08	-0.005781633	-0.014024956	0.006417214	0.002903957	-0.007947353	-0.01368649
1998-06-09	0.024269278	0.003359903	0.005861186	0.004354266	0.022935815	0.003380302
1998-06-10	0.026641512	-0.003192976	-0.004810359	0.003171574	0.032139786	-0.004422632
1998-06-11	-0.019792554	0.012356173	0.001549726	-0.002256176	-0.018489481	0.009587831
1998-06-12	0.03467551	-0.000853091	-0.005456459	0.003592131	0.048541388	-0.003337086
1998-06-13	-0.018779683	-0.005870516	-0.007265622	0.022381608	-0.015515167	-0.008443546
1998-06-15	-0.004827123	0.012664763	0.008188146	-0.015506839	0.010315521	0.006892532
1998-06-16	-0.015087171	-0.001484178	0.004963723	0.015899292	-0.005519607	-0.003698197
1998-06-17	-0.021594289	0.007673296	-0.015034499	0.025649089	-0.045146762	0.009840569
1998-06-18	-0.002541859	-0.0128468	-0.021709023	0.0138595	-0.022943183	-0.00849481
1998-06-19	0.024354979	-0.009364907	0.003399059	-0.018914948	0.028757634	-0.010656549
1998-06-20	-0.000157542	-2.57E-05	-0.008920168	-0.004189232	-0.004570976	7.79E-05
1998-06-22	0.006499731	0.004578562	0.000572796	-0.002734076	0.007220937	-0.000384945
1998-06-23	0.011490714	-0.001254647	-0.005465978	-0.012806304	0.014313356	-0.003772397
1998-06-24	-0.000321129	9.54E-05	-0.015663352	0.001746227	0.001866228	0.000128551
1998-06-25	-0.001625322	-0.001540482	-0.006826708	-0.00976693	-0.000638543	-0.002987473
1998-06-26	-0.008103	0.007987749	-0.002464531	-0.026337858	-0.003352764	-0.002252575
1998-06-27	-0.020158756	-0.000378949	-0.01755672	0.012149691	-0.01878579	-0.003923259
1998-06-29	-0.002017458	-0.001741226	0.018843521	-0.014110197	-0.000686932	-0.003584765
1998-06-30	0.003621567	0.001295101	0.000937563	-0.004143244	0.00150335	-0.001941825
1998-07-01	-0.023233905	-0.038458399	0.002400136	0.007013997	-0.039517829	-0.011410155
1998-07-02	-0.017461029	-0.025931039	0.011172719	-0.005533115	-0.010631531	-0.037922236
1998-07-03	-0.003475349	0.007694081	0.012831668	-0.012814803	-0.001741081	0.001336382
1998-07-04	-0.008260212	-0.007245467	0.003586735	-0.008574144	-0.007443866	-0.0085964
1998-07-06	-0.00181415	-0.004126035	0.012474959	-0.001190195	-0.00610863	0.005195708
