"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 07","275.01","276.83","276.99","274.07","94.89M","-0.84%"
"2019- 03- 06","277.33","279.15","279.16","276.97","75.04M","-0.61%"
"2019- 03- 05","279.02","279.54","279.76","278.41","59.11M","-0.14%"
"2019- 03- 04","279.40","281.60","281.87","276.84","106.49M","-0.36%"
"2019- 03- 01","280.42","280.44","280.88","278.82","78.88M","0.62%"
"2019- 02- 28","278.68","278.96","279.45","278.32","69.27M","-0.19%"
"2019- 02- 27","279.20","278.52","279.59","277.48","56.92M","-0.04%"
"2019- 02- 26","279.32","279.13","280.30","278.90","56.84M","-0.07%"
"2019- 02- 25","279.52","280.73","281.31","279.43","69.03M","0.14%"
"2019- 02- 22","279.14","278.11","279.36","277.40","78.11M","0.62%"
"2019- 02- 21","277.42","277.70","278.10","276.35","64.21M","-0.36%"
"2019- 02- 20","278.41","277.81","278.92","277.25","76.61M","0.20%"
"2019- 02- 19","277.85","276.48","278.58","276.47","59.12M","0.17%"
"2019- 02- 15","277.37","276.36","277.41","276.13","97.09M","1.09%"
"2019- 02- 14","274.38","273.78","275.64","272.87","83.23M","-0.22%"
"2019- 02- 13","274.99","275.03","275.93","274.56","65.28M","0.32%"
"2019- 02- 12","274.10","272.42","274.52","272.34","72.27M","1.29%"
"2019- 02- 11","270.62","271.20","271.49","270.03","68.02M","0.06%"
"2019- 02- 08","270.47","268.75","270.58","267.83","75.79M","0.12%"
"2019- 02- 07","270.14","270.94","271.55","268.29","95.48M","-0.95%"
"2019- 02- 06","272.74","272.79","273.34","271.92","58.35M","-0.13%"
"2019- 02- 05","273.10","272.44","273.44","271.88","79.55M","0.42%"
"2019- 02- 04","271.96","270.11","272.03","269.36","60.74M","0.70%"
"2019- 02- 01","270.06","270.15","271.20","269.18","85.78M","0.05%"
"2019- 01- 31","269.93","267.51","270.47","267.27","104.01M","0.88%"
"2019- 01- 30","267.58","265.10","268.52","264.25","92.47M","1.58%"
"2019- 01- 29","263.41","263.92","264.55","262.48","66.14M","-0.13%"
"2019- 01- 28","263.76","263.39","263.83","261.79","85.61M","-0.76%"
"2019- 01- 25","265.78","265.61","266.70","263.66","96.88M","0.85%"
"2019- 01- 24","263.55","263.21","264.20","262.08","59.20M","0.05%"
"2019- 01- 23","263.41","264.01","264.79","260.66","86.03M","0.21%"
"2019- 01- 22","262.86","264.82","265.06","261.06","115.53M","-1.35%"
"2019- 01- 18","266.46","264.98","266.98","263.00","127.90M","1.33%"
"2019- 01- 17","262.96","260.01","263.92","259.96","96.12M","0.76%"
"2019- 01- 16","260.98","260.83","261.97","260.60","77.64M","0.24%"
"2019- 01- 15","260.35","257.82","260.70","257.81","85.21M","1.15%"
"2019- 01- 14","257.40","256.86","258.30","256.41","70.91M","-0.61%"
"2019- 01- 11","258.98","257.68","259.01","257.03","73.86M","0.04%"
"2019- 01- 10","258.88","256.26","259.16","255.50","96.82M","0.35%"
"2019- 01- 09","257.97","257.56","258.91","256.19","95.01M","0.47%"
"2019- 01- 08","256.77","256.82","257.31","254.00","102.51M","0.94%"
"2019- 01- 07","254.38","252.69","255.95","251.69","103.14M","0.79%"
"2019- 01- 04","252.39","247.59","253.11","247.17","142.63M","3.35%"
"2019- 01- 03","244.21","248.23","248.57","243.67","144.14M","-2.39%"
"2019- 01- 02","250.18","245.98","251.21","245.95","126.93M","0.10%"
