날짜,편입비중_삼성전자,편입비중_삼성바이오로직스,편입비중_SK하이닉스,편입비중_LG화학,편입비중_삼성SDI,지수,설정좌수,환매좌수,총좌수,iNAV,AUM,매매내역_삼성전자,매매내역_삼성바이오로직스,매매내역_SK하이닉스,매매내역_LG화학,매매내역_삼성SDI,주식잔고_삼성전자,주식잔고_삼성바이오로직스,주식잔고_SK하이닉스,주식잔고_LG화학,주식잔고_삼성SDI
2020-04-16,0.7279195793773342,0.030871825015210196,0.14350393759927843,0.05295621430561261,0.04474844370256462,0.910361237883763,150000,50000,4800000,9103.61237883763,43697339418.42062,13523.0,52.0,1607.0,141.0,150.0,649145,2527,77130,6746,7215
2020-04-17,0.7288419968809247,0.030886461381847925,0.1416942469120125,0.05342121621651523,0.04515607860869973,0.9537417810203769,50000,0,4850000,9537.41781020377,46256476379.48828,6762.0,27.0,804.0,70.0,75.0,655907,2554,77934,6816,7290
2020-04-20,0.7279851556325996,0.03165065355007218,0.14157435816237485,0.05308179703988217,0.04570803561507119,0.9307140732856543,100000,50000,4900000,9307.140732856542,45604989590.997055,6762.0,26.0,803.0,71.0,75.0,662669,2580,78737,6887,7365
2020-04-21,0.7246598228131896,0.032785972688186345,0.14213611654025338,0.054133573953932854,0.04628451400443776,0.9191219336365899,200000,50000,5050000,9191.219336365899,46415657648.64779,20286.0,79.0,2411.0,210.0,226.0,682955,2659,81148,7097,7591
2020-04-22,0.7233666010766598,0.032389378829680786,0.14465758226189568,0.05353738237149882,0.04604905546026482,0.9319825663444372,200000,150000,5100000,9319.825663444371,47531110883.56629,6762.0,26.0,803.0,71.0,75.0,689717,2685,81951,7168,7666
2020-04-23,0.7236018774180387,0.03357300098950866,0.1424624867363454,0.05445994697868456,0.04590268787742268,0.9316795358309997,100000,50000,5150000,9316.795358309997,47981496095.296486,6762.0,27.0,804.0,70.0,75.0,696479,2712,82755,7238,7741
2020-04-24,0.7252116939317641,0.03342306416901077,0.14213073355350417,0.05398866013371343,0.045245848212007535,0.9202873180917239,100000,100000,5150000,9202.873180917239,47394796881.72378,0.0,0.0,0.0,0.0,0.0,696479,2712,82755,7238,7741
2020-04-27,0.7255936688049561,0.03293720213358921,0.14285462993400097,0.053475300045255775,0.04513919908219795,0.9291220282966635,200000,150000,5200000,9291.220282966635,48314345471.4265,6762.0,26.0,803.0,70.0,75.0,703241,2738,83558,7308,7816
2020-04-28,0.724548475379738,0.03272563665003532,0.14331172479681292,0.05448453163269026,0.04492963154072351,0.9351286387500903,50000,0,5250000,9351.286387500902,49094253534.37974,6762.0,26.0,803.0,70.0,75.0,710003,2764,84361,7378,7891
2020-04-29,0.7217822583312531,0.03227702077917351,0.14356468010747736,0.05648545987165386,0.0458905809104422,0.9368388241756495,200000,200000,5250000,9368.388241756495,49184038269.221596,0.0,0.0,0.0,0.0,0.0,710003,2764,84361,7378,7891
2020-05-04,0.7229695590593973,0.03189587293151943,0.14346608362786156,0.055772005770246644,0.045896478610975074,0.90724128660835,200000,150000,5300000,9072.4128660835,48083788190.242546,6762.0,27.0,804.0,71.0,76.0,716765,2791,85165,7449,7967
2020-05-06,0.7226335098392178,0.0325013782997504,0.14380240746801226,0.05510559370328244,0.04595711068973712,0.9207634781268917,100000,50000,5350000,9207.634781268918,49260846079.78871,6762.0,26.0,803.0,70.0,75.0,723527,2817,85968,7519,8042
2020-05-07,0.7219801716034867,0.03228269108015035,0.14485003724000198,0.054430735183274015,0.04645636489308697,0.914104044335734,50000,50000,5350000,9141.04044335734,48904566371.96177,0.0,0.0,0.0,0.0,0.0,723527,2817,85968,7519,8042
