날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI,삼성전자_시가총액,삼성바이오로직스_시가총액,SK하이닉스_시가총액,LG화학_시가총액,삼성SDI_시가총액,시가총액합,지수,설정,환매,총좌수,삼성전자_편입비중,삼성바이오로직스_편입비중,SK하이닉스_편입비중,LG화학_편입비중,삼성SDI_편입비중,iNAV,AUM,삼성전자_일자별매매내역,삼성바이오로직스_일자별매매내역,SK하이닉스_일자별매매내역,LG화학_일자별매매내역,삼성SDI_일자별매매내역,삼성전자_주식잔고,삼성바이오로직스_주식잔고,SK하이닉스_주식잔고,LG화학_주식잔고,삼성SDI_주식잔고
2022-09-14,56800,828000,93000,663000,614000,257069459679200,14592393792000,50011634523000,31185389118000,30888146178000,383747023290200,114.66845193266768,150000,50000,34250000,0.6698930391045589,0.03802607683282232,0.1303244884981944,0.08126548800462423,0.08049090755980025,11466.0,392710500000.0,13260.887626429088,51.63767146660757,1575.645618133829,137.818679606753,147.3987900634529,4631585.041078713,18035.31358219332,550320.3767781738,48135.46067426845,51481.47321378328
2022-09-15,56000,807000,92000,658000,615000,253448763064000,14222296848000,49473875012000,30950205188000,30938452605000,379033592717000,113.26001941249612,200000,50000,34400000,0.6686709778075894,0.03752252338915742,0.13052635956976763,0.08165557296951388,0.08162456626397163,11326.0,389614400000.0,20626.419919810258,80.31892927202352,2450.8109170356765,214.36769833545986,229.26891661923582,4652211.460998523,18115.632511465345,552771.1876952095,48349.82837260391,51710.74213040252
2022-09-16,56200,802000,91200,635000,602000,254353937217800,14134178528000,49043667403200,29868359110000,30284469054000,377684611313000,112.85692675015733,200000,150000,34450000,0.673455919566202,0.03742323119510561,0.12985349663228893,0.07908280669991895,0.0801845459064845,11285.0,388768250000.0,6476.782807404175,25.220482383305352,769.5649595696013,67.31236096422799,71.99140632279159,4658688.243805927,18140.85299384865,553540.7526547791,48417.140733568136,51782.73353672531
2022-09-19,56400,809000,90000,635000,608000,255259111371600,14257544176000,48398355990000,29868359110000,30586307616000,378369678263600,113.06163339783895,100000,50000,34500000,0.6746288776178514,0.03768151888235387,0.1279128819521372,0.07893962129066673,0.08083710025699084,11306.0,390057000000.0,6980.481672552414,27.18187721971117,829.4139630517457,72.54723772886064,77.59017205935379,4665668.72547848,18168.03487106836,554370.1666178309,48489.687971297,51860.323708784665
2022-09-20,55800,800000,88000,630000,634000,252543588910200,14098931200000,47322836968000,29633175180000,31894274718000,375492806976200,112.2019879623974,100000,100000,34500000,0.6725657168879058,0.037547806344246794,0.12602861117123737,0.07891809011904255,0.08493977547756745,11220.0,387090000000.0,-15.26042221672833,-0.059423825248813955,-1.8132283504819497,-0.1585995824279962,-0.16962422381038778,4665653.465056263,18167.975447243112,554368.3533894804,48489.52937171457,51860.154084560854
2022-09-21,55300,786000,88000,625000,619000,250280653525700,13852199904000,47322836968000,29397991250000,31139678313000,371993359960700,111.15630904494995,150000,100000,34550000,0.6728094650725523,0.03723776119408003,0.1272141980518134,0.0790282688193838,0.08371030686217037,11115.0,384023250000.0,6579.399463141337,25.620069900011003,781.7577696223743,68.37884251491778,73.13202159095817,4672232.864519404,18193.595517143123,555150.1111591028,48557.90821422949,51933.28610615181
2022-09-22,54400,785000,86000,626000,629000,246207369833600,13834576240000,46247317946000,29445028036000,31642742583000,367377034638600,109.77689279889226,150000,50000,34650000,0.6701762674844434,0.03765770566908053,0.12588516315804796,0.08014934320803686,0.0861315204803913,10977.0,380353050000.0,13494.844585813582,52.54869589772716,1603.4441538178362,140.25016384336777,149.999292662651,4685727.709105218,18246.14421304085,556753.5553129206,48698.158378072854,52083.28539881446
2022-09-23,54500,770000,83500,604000,610000,246659956910500,13570221280000,44902919168500,28410218744000,30686920470000,364230236573000,108.83658983671347,150000,100000,34700000,0.677208897403178,0.03725726180143811,0.12328169015012688,0.0780007146339866,0.08425143601127043,10883.0,377640100000.0,6772.029174156487,26.370166727032483,804.645842324011,70.3808180366832,75.27315928351163,4692499.738279374,18272.514379767883,557558.2011552446,48768.53919610954,52158.558558097975
2022-09-26,53900,758000,82500,571000,597000,243944434449100,13358737312000,44365159657500,26858004806000,30032936919000,358559273143600,107.14203441882218,50000,0,34750000,0.6803461874249235,0.037256705690191246,0.12373173134956719,0.07490534150888797,0.08376003402643016,10714.0,372311500000.0,6956.839818109758,27.08981623955333,826.604861172149,72.30153101190808,77.32738567296474,4699456.578097484,18299.604196007436,558384.8060164168,48840.840727121446,52235.88594377094
2022-09-27,54200,754000,82000,569000,587000,245302195679800,13288242656000,44096279902000,26763931234000,29529872649000,358980522120800,107.26790892770978,50000,0,34800000,0.6833300988883562,0.03701661186934369,0.1228375279011969,0.07455538555652808,0.08226037578457515,10726.0,373264800000.0,6504.172742783092,25.327138327047578,772.8194047379075,67.59702099866263,72.29585376617615,4705960.750840267,18324.931334334484,559157.6254211547,48908.43774812011,52308.181797537116
2022-09-28,52900,767000,81200,546000,564000,239418563680100,13517350288000,43666072293200,25682085156000,28372824828000,350656896245300,104.78070450478847,150000,150000,34800000,0.6827715816905426,0.03854865092555891,0.12452648945667291,0.07323992606731523,0.08091335185991025,10478.0,364634400000.0,315.35552612226456,1.227989069193427,37.47023328195792,3.277448949214886,3.505272369366139,4706276.106366389,18326.159323403677,559195.0956544366,48911.71519706932,52311.68706990648
2022-09-29,52600,813000,80800,547000,566000,238060802449400,14328038832000,43450968488800,25729121942000,28473437682000,350042369394200,104.59707612877523,200000,200000,34800000,0.6800913925402784,0.04093229872942749,0.12413059757308327,0.07350287905583557,0.08134283210137529,10459.0,363973200000.0,-286.7444777721539,-1.1165781322670227,-34.070696672424674,-2.980098046558851,-3.187251884774014,4705989.361888617,18325.04274527141,559161.0249577642,48908.735099022764,52308.49981802171
