Symbol,Year,Return,TRI,TB90,MKTCAP,PB
MRU,2015,47.8506,43042.7188,0.37,8528.5908,3.2102
HCG,2015,-49.2807,43042.7188,0.37,1931.7842,1.2704
CU,2015,-7.0772,43042.7188,0.37,9647.3418,2.2306
RCI.B,2015,1.3312,43042.7188,0.37,23117.3184,4.2277
RBA,2015,40.6504,43042.7188,0.37,3891.2446,4.1826
IFC,2015,23.1904,43042.7188,0.37,11977.0,2.3207
,2016,6.4434,46782.5273,0.5,15564.248,1.6234
CM,2016,7.6637,46782.5273,0.5,41109.9766,1.9088
IGM,2016,-1.4608,46782.5273,0.5,8922.1455,1.9666
BNS,2016,15.9249,46782.5273,0.5,84109.1172,1.6568
PWF,2016,-6.5863,46782.5273,0.5,21546.9414,1.3348
BCE,2016,15.1692,46782.5273,0.5,53286.4258,4.2794
BMO,2016,22.507,46782.5273,0.5,56089.7148,1.4982
DH,2016,-30.4358,46782.5273,0.5,3171.7026,1.4707
POW,2016,-3.75,46782.5273,0.5,11486.2559,1.0531
RY,2016,11.1672,46782.5273,0.5,121078.9531,1.936
GWO,2016,-6.8689,46782.5273,0.5,31096.4688,1.6756
IAG,2016,11.2327,46782.5273,0.5,4795.1924,1.2386
TD,2016,11.5091,46782.5273,0.5,108585.625,1.641
FTS,2016,15.5786,46782.5273,0.5,13715.0889,1.4793
CU,2016,3.3819,46782.5273,0.5,10067.459,2.2891
HCG,2016,6.5455,46782.5273,0.5,1925.8656,1.2507
CIX,2016,-18.3784,46782.5273,0.5,6969.3794,3.9561
SLF,2016,-1.0521,46782.5273,0.5,25358.9668,1.3644
T,2016,-0.0465,46782.5273,0.5,25456.5449,3.1547
WJA,2016,0.6656,46782.5273,0.5,2900.8904,1.4719
ACO.X,2016,21.1839,46782.5273,0.5,5515.1958,1.6432
WN,2016,3.559,46782.5273,0.5,15626.9414,2.1558
FFH,2016,21.3253,46782.5273,0.5,17097.0371,1.4064
IFC,2016,4.536,46782.5273,0.5,12483.2471,2.3459
CWB,2016,6.5992,46782.5273,0.5,2318.5198,1.1717
EMP.A,2016,-26.5994,46782.5273,0.5,3743.2124,1.659
WSP,2016,2.1801,46782.5273,0.5,4348.1646,1.5517
CAE,2016,29.4118,46782.5273,0.5,5025.5503,2.7145
WJA,2017,10.0413,50166.8711,0.71,3119.4541,1.4646
CVE,2017,-48.4433,50166.8711,0.71,12004.374,0.6094
POW,2017,10.101,50166.8711,0.71,12664.1094,1.0678
PWF,2017,11.5856,50166.8711,0.71,24044.9609,1.3788
LB,2017,14.2596,50166.8711,0.71,2181.9292,1.1036
CM,2017,0.7781,50166.8711,0.71,45964.7969,1.6317
SLF,2017,15.8772,50166.8711,0.71,29426.627,1.441
EMA,2017,0.4398,50166.8711,0.71,10174.0371,1.6902
,2017,24.7125,50166.8711,0.71,19611.957,1.8635
TD,2017,14.5933,50166.8711,0.71,123985.8516,1.8468
GWO,2017,10.4406,50166.8711,0.71,34235.5547,1.7665
